PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Jacardia Wright,RB,SEA,SF,116,45.00,2.50,21.25,4000,0.00,0.0,0
Nick Kallerup,TE,SEA,SF,116,45.00,2.50,21.25,2500,0.00,0.0,0
Garrett Greene,WR,TB,ATL,-127,48.00,-1.50,24.75,3000,0.00,0.0,0
Cam Miller,QB,LV,NE,128,42.50,3.00,19.75,4000,0.00,0.0,0
Robbie Ouzts,RB,SEA,SF,116,45.00,2.50,21.25,4000,0.00,0.0,0
Oscar Cardenas,TE,ARI,NO,-257,42.50,-6.00,24.25,2500,0.00,0.0,0
Bryson Green,WR,ARI,NO,-257,42.50,-6.00,24.25,3000,0.00,0.0,0
Kurtis Rourke,QB,SF,SEA,-136,45.00,-2.50,23.75,4000,0.00,0.0,0
Tyler Kahmann,WR,IND,MIA,-125,46.50,-2.00,24.25,3000,0.00,0.0,0
Coleman Owen,WR,IND,MIA,-125,46.50,-2.00,24.25,3000,0.00,0.0,0
Corey Kiner,RB,SF,SEA,-136,45.00,-2.50,23.75,4000,0.00,0.0,0
Caleb Lohner,TE,DEN,TEN,-375,41.50,-7.50,24.50,2500,0.00,0.0,0
Landon Parker,WR,IND,MIA,-125,46.50,-2.00,24.25,3000,0.00,0.0,0
Josh Williams,RB,TB,ATL,-127,48.00,-1.50,24.75,4000,0.00,0.0,0
Tyrone Broden,WR,SEA,SF,116,45.00,2.50,21.25,3000,0.00,0.0,0
Joshua Simon,TE,ATL,TB,108,48.00,1.50,23.25,2500,0.00,0.0,0
Gee Scott,TE,NE,LV,-152,42.50,-3.00,22.75,2500,0.00,0.0,0
Will Sheppard,WR,GB,DET,-120,49.50,-1.50,25.50,3000,0.00,0.0,0
Nathan Carter,RB,ATL,TB,108,48.00,1.50,23.25,4000,0.00,0.0,0
Jeremiah Webb,WR,NE,LV,-152,42.50,-3.00,22.75,3000,0.00,0.0,0
Quentin Skinner,WR,NYJ,PIT,129,38.00,3.00,17.50,3000,0.00,0.0,0
Jacoby Jones,WR,WAS,NYG,-284,45.50,-6.00,25.75,3000,0.00,0.0,0
Ja'Corey Brooks,WR,WAS,NYG,-284,45.50,-6.00,25.75,3000,0.00,0.0,0
Brock Lampe,RB,NE,LV,-152,42.50,-3.00,22.75,4000,0.00,0.0,0
Efton Chism,WR,NE,LV,-152,42.50,-3.00,22.75,3000,0.00,0.0,0
C.J. Dippre,TE,NE,LV,-152,42.50,-3.00,22.75,2500,0.00,0.0,0
Connor Bazelak,QB,TB,ATL,-127,48.00,-1.50,24.75,4000,0.00,0.0,0
Konata Mumpfield,WR,LAR,HOU,-143,44.50,-2.50,23.50,3000,0.00,0.0,0
Mark Redman,TE,LAR,HOU,-143,44.50,-2.50,23.50,2500,0.00,0.0,0
Jordan Waters,RB,LAR,HOU,-143,44.50,-2.50,23.50,4000,0.00,0.0,0
Lan Larison,RB,NE,LV,-152,42.50,-3.00,22.75,4000,0.00,0.0,0
Tru Edwards,WR,LAR,HOU,-143,44.50,-2.50,23.50,3000,0.00,0.0,0
Brennan Presley,WR,LAR,HOU,-143,44.50,-2.50,23.50,3000,0.00,0.0,0
Deshaun Watson,QB,CLE,CIN,202,46.50,6.00,20.25,4000,0.00,0.0,0
Ketron Jackson,WR,LV,NE,128,42.50,3.00,19.75,3000,0.00,0.0,0
Kisean Johnson,WR,CLE,CIN,202,46.50,6.00,20.25,3000,0.00,0.0,0
Mason Rudolph,QB,PIT,NYJ,-152,38.00,-3.00,20.50,4200,0.00,0.0,0
Blake Watson,RB,DEN,TEN,-375,41.50,-7.50,24.50,4000,0.00,0.0,0
Andrew Beck,RB,NYJ,PIT,129,38.00,3.00,17.50,4000,0.00,0.0,0
Andy Dalton,QB,CAR,JAX,129,46.00,3.00,21.50,4700,0.00,0.0,0
Kyle Trask,QB,TB,ATL,-127,48.00,-1.50,24.75,4100,0.00,0.0,0
Tyler Johnson,WR,NYJ,PIT,129,38.00,3.00,17.50,3000,0.00,0.0,0
Scotty Miller,WR,PIT,NYJ,-152,38.00,-3.00,20.50,3000,0.00,0.0,0
Jakob Johnson,TE,HOU,LAR,121,44.50,2.50,21.00,2500,0.00,0.0,0
Sean McKeon,TE,IND,MIA,-125,46.50,-2.00,24.25,2500,0.00,0.0,0
Brandon Smith,WR,NYJ,PIT,129,38.00,3.00,17.50,3000,0.00,0.0,0
Simi Fehoko,WR,ARI,NO,-257,42.50,-6.00,24.25,3000,0.00,0.0,0
Michael Gallup,WR,WAS,NYG,-284,45.50,-6.00,25.75,3200,0.00,0.0,0
David Sills,WR,ATL,TB,108,48.00,1.50,23.25,3000,0.00,0.0,0
Sal Cannella,TE,CLE,CIN,202,46.50,6.00,20.25,2500,0.00,0.0,0
Alex Bachman,WR,LV,NE,128,42.50,3.00,19.75,3000,0.00,0.0,0
Gary Brightwell,RB,CIN,CLE,-246,46.50,-6.00,26.25,4000,0.00,0.0,0
Zach Wood,TE,NO,ARI,211,42.50,6.00,18.25,2500,0.00,0.0,0
Chris Blair,WR,ATL,TB,108,48.00,1.50,23.25,3000,0.00,0.0,0
Patrick Taylor,RB,SF,SEA,-136,45.00,-2.50,23.75,4000,0.00,0.0,0
Irv Smith,TE,HOU,LAR,121,44.50,2.50,21.00,2500,0.00,0.0,0
Hunter Long,TE,JAX,CAR,-153,46.00,-3.00,24.50,2500,0.00,0.0,0
Mac Jones,QB,SF,SEA,-136,45.00,-2.50,23.75,4200,0.00,0.0,0
Demetric Felton,RB,WAS,NYG,-284,45.50,-6.00,25.75,4000,0.00,0.0,0
Mitchell Fraboni,TE,DEN,TEN,-375,41.50,-7.50,24.50,2500,0.00,0.0,0
Josh Reynolds,WR,NYJ,PIT,129,38.00,3.00,17.50,3300,0.00,0.0,0
Marcus Mariota,QB,WAS,NYG,-284,45.50,-6.00,25.75,4500,0.00,0.0,0
Luke Farrell,TE,SF,SEA,-136,45.00,-2.50,23.75,2500,0.00,0.0,0
Christian Watson,WR,GB,DET,-120,49.50,-1.50,25.50,4000,0.00,0.0,0
James Mitchell,TE,CAR,JAX,129,46.00,3.00,21.50,2500,0.00,0.0,0
Britain Covey,WR,LAR,HOU,-143,44.50,-2.50,23.50,3000,0.00,0.0,0
Thomas Odukoya,TE,TEN,DEN,295,41.50,7.50,17.00,2500,0.00,0.0,0
Treylon Burks,WR,TEN,DEN,295,41.50,7.50,17.00,3200,0.00,0.0,0
Malik Willis,QB,GB,DET,-120,49.50,-1.50,25.50,4600,0.00,0.0,0
Cole Turner,TE,WAS,NYG,-284,45.50,-6.00,25.75,2500,0.00,0.0,0
Seth Green,TE,NO,ARI,211,42.50,6.00,18.25,2500,0.00,0.0,0
Teagan Quitoriano,TE,ATL,TB,108,48.00,1.50,23.25,2500,0.00,0.0,0
Jelani Woods,TE,IND,MIA,-125,46.50,-2.00,24.25,2500,0.00,0.0,0
John FitzPatrick,TE,GB,DET,-120,49.50,-1.50,25.50,2500,0.00,0.0,0
Cam Akers,RB,NO,ARI,211,42.50,6.00,18.25,4300,0.00,0.0,0
Desmond Ridder,QB,CIN,CLE,-246,46.50,-6.00,26.25,4000,0.00,0.0,0
Jashaun Corbin,RB,ATL,TB,108,48.00,1.50,23.25,4000,0.00,0.0,0
Sincere McCormick,RB,LV,NE,128,42.50,3.00,19.75,4000,0.00,0.0,0
